Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/getMultiple,2393,0,46,53.83279151693261,9.490599999480764,201.7107000001488,2080.0,32.156337237685854,0.0,46,63,72,78,96,110,130,140,190,200,200
grpc,/CommunicationService/getRange,2427,0,46,53.39341289657949,6.736299999829498,209.63170000050013,1114.0,32.61321791720165,0.0,46,62,72,78,96,110,130,150,200,210,210
grpc,/CommunicationService/getSingle,2402,0,31,38.693757119058866,3.147000000353728,148.32260000002861,18.816819317235637,32.277276241087094,0.0,31,45,54,59,72,87,110,120,150,150,150
grpc,/CommunicationService/setMultiple,2451,0,66,69.89041709506574,5.594899999778136,239.1766999999163,4.0,32.93572192627163,0.0,66,82,94,100,130,150,170,180,230,240,240
grpc,/CommunicationService/setSingle,2334,0,30,37.47129948586918,2.8122999992774567,155.29700000024604,4.0,31.363514882055487,0.0,30,42,51,58,72,87,100,110,150,160,160
grpc,/CommunicationService/testConnection,2443,0,24,30.85888305362223,2.319100000022445,196.47789999999077,87.0,32.82822058991498,0.0,24,34,41,47,61,72,88,100,140,200,200
,Aggregated,14450,0,38,47.4392916539806,2.319100000022445,239.1766999999163,550.7264359861591,194.1742887942167,0.0,38,55,65,72,92,110,130,150,200,240,240
