Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/getMultiple,11487,0,440.0,418.67813487411263,9.555800002999604,919.4827000028454,2080.0,34.37145464868402,0.0,440,490,520,540,590,640,680,720,830,890,920
grpc,/CommunicationService/getRange,11626,0,450.0,418.81993152400236,5.476599995745346,925.9293999930378,630.8546361603303,34.78737109302694,0.0,450,490,520,540,590,630,690,720,840,910,930
grpc,/CommunicationService/getSingle,11378,0,430.0,401.5490296185791,3.076399996643886,873.7229999969713,18.809896291088066,34.04530434340793,0.0,430,480,500,520,570,610,670,710,790,860,870
grpc,/CommunicationService/setMultiple,11672,0,460.0,436.6628407215979,5.582000012509525,953.0928999884054,4.0,34.925012506262725,0.0,460,510,540,560,610,660,710,750,880,930,950
grpc,/CommunicationService/setSingle,11357,0,430.0,402.1917032051407,2.781999995931983,877.5985000247601,4.0,33.98246804606115,0.0,430,470,500,520,580,620,670,700,780,880,880
grpc,/CommunicationService/testConnection,11498,0,410.0,387.18975403538155,1.8533999973442405,875.871800002642,87.0,34.40436889967519,0.0,410,460,490,510,560,600,640,680,810,860,880
,Aggregated,69018,0,440.0,410.961035676194,1.8533999973442405,953.0928999884054,471.38046596540033,206.51597953711797,0.0,440,490,510,530,590,630,680,720,830,910,950
