Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/getMultiple,6061,0,400.0,368.10091062540164,8.08069997583516,830.3722999989986,2080.0,34.01055646680904,0.0,400,470,510,530,590,620,670,710,790,830,830
grpc,/CommunicationService/getRange,5802,0,400.0,367.46631263358705,7.809899980202317,826.7800999747124,1303.0,32.55720980373306,0.0,400,470,510,530,580,620,670,720,800,830,830
grpc,/CommunicationService/getSingle,5902,0,380.0,349.88638205687573,3.005900012794882,819.070700003067,18.79803456455439,33.1183475114844,0.0,380,450,480,510,570,610,650,690,800,820,820
grpc,/CommunicationService/setMultiple,5936,0,410.0,385.4242237704605,5.596600007265806,848.1850999814924,4.0,33.30913433211986,0.0,410,490,530,550,610,640,700,740,830,850,850
grpc,/CommunicationService/setSingle,5889,0,380.0,349.9712564444708,2.7054999954998493,829.6308999997564,4.0,33.04539960947673,0.0,380,450,490,510,570,610,660,720,790,830,830
grpc,/CommunicationService/testConnection,6042,0,360.0,333.26815827537916,2.1911000076215714,793.4122000006028,87.0,33.90394030233629,0.0,360,430,470,490,550,590,640,690,760,790,790
,Aggregated,35632,0,390.0,358.96367663625523,2.1911000076215714,848.1850999814924,585.170240233498,199.94458802595938,0.0,390,460,500,520,580,620,670,710,800,840,850
