Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1521,0,7,6.916793375560753,4.732370376586914,11.99483871459961,4.0,8.45229349188335,0.0,7,7,7,8,8,8,9,9,11,12,12
client-middleware,/CommunicationService/delSingle,1449,0,4,4.020903503754947,2.508401870727539,10.514020919799805,4.0,8.052184924220231,0.0,4,4,4,5,5,5,6,7,10,11,11
client-middleware,/CommunicationService/getMultiple,1506,0,39,38.36333213416071,29.158830642700195,55.275917053222656,20651.88047808765,8.368937540286867,0.0,39,40,41,41,42,43,46,49,54,55,55
client-middleware,/CommunicationService/getRange,1555,0,8,7.9163517599320485,4.935503005981445,31.46839141845703,2003.5993569131833,8.641233648835376,0.0,8,8,8,9,9,9,10,11,31,31,31
client-middleware,/CommunicationService/getSingle,1484,0,4,4.014786041650489,1.9986629486083984,12.008428573608398,15.212938005390836,8.246682144612025,0.0,4,4,4,5,5,5,6,6,12,12,12
client-middleware,/CommunicationService/setMultiple,1439,0,42,41.84663718238814,30.327320098876953,58.58778953552246,4.0,7.996614289822577,0.0,42,43,44,45,46,47,49,51,56,59,59
client-middleware,/CommunicationService/setSingle,1548,0,4,3.8895902707595233,1.9974708557128906,10.030031204223633,4.0,8.602334204757017,0.0,4,4,4,4,5,5,6,6,9,10,10
,Aggregated,10502,0,7,15.104568292926185,1.9974708557128906,58.58778953552246,3262.591220719863,58.360280244417446,0.0,7,8,35,38,42,44,46,47,53,56,59
