Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1947,0,1300.0,1269.7002746903352,18.07856559753418,2101.7634868621826,4.0,10.817769944204441,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2100,2100,2100
client-middleware,/CommunicationService/delSingle,2002,0,1300.0,1262.1274114726903,36.29016876220703,2045.194149017334,4.0,11.123356665792137,0.0,1300,1400,1400,1400,1600,1600,1700,1800,1900,2000,2000
client-middleware,/CommunicationService/getMultiple,1891,0,1400.0,1353.1058268342808,31.03804588317871,2150.7930755615234,20712.67636171338,10.50662710040606,0.0,1400,1500,1500,1600,1700,1700,1800,1900,2100,2200,2200
client-middleware,/CommunicationService/getRange,1824,0,1300.0,1258.5168948821854,31.253337860107422,1969.0124988555908,2004.953947368421,10.134366912290139,0.0,1300,1400,1400,1400,1500,1600,1700,1800,1900,2000,2000
client-middleware,/CommunicationService/getSingle,1861,0,1300.0,1270.5462971789295,33.03337097167969,2079.653024673462,15.227834497581945,10.339943434085498,0.0,1300,1400,1400,1500,1600,1600,1700,1700,2000,2100,2100
client-middleware,/CommunicationService/setMultiple,1974,0,1400.0,1398.5665355409894,135.38098335266113,2149.9786376953125,4.0,10.967785243892948,0.0,1400,1500,1600,1600,1700,1800,1900,1900,2100,2100,2100
client-middleware,/CommunicationService/setSingle,1935,0,1300.0,1266.3802028626435,24.19137954711914,1957.5326442718506,4.0,10.751096477676217,0.0,1300,1400,1400,1500,1600,1600,1700,1700,2000,2000,2000
,Aggregated,13434,0,1300.0,1297.3683296223207,18.07856559753418,2150.7930755615234,3192.2344796784278,74.64094577834744,0.0,1300,1400,1500,1500,1600,1700,1800,1800,2100,2100,2200
