Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,2105,0,360.0,381.43693466367745,8.30698013305664,1122.4839687347412,4.0,10.02376918081812,0.0,360,480,570,610,720,800,890,940,1100,1100,1100
client-middleware,/CommunicationService/delSingle,2175,0,300.0,325.85386627021876,2.966165542602539,1043.7707901000977,4.0,10.357101172579291,0.0,300,420,500,540,640,730,830,890,1000,1000,1000
client-middleware,/CommunicationService/getMultiple,2068,0,410.0,431.2611654602582,28.20420265197754,1304.3906688690186,20853.893617021276,9.847579413744358,0.0,410,540,610,660,780,860,950,1000,1200,1300,1300
client-middleware,/CommunicationService/getRange,2118,0,360.0,384.9574249797097,9.588003158569336,1321.3601112365723,2032.386685552408,10.085673693573765,0.0,360,480,570,620,720,810,910,970,1200,1300,1300
client-middleware,/CommunicationService/getSingle,2100,0,310.0,331.012190750667,2.718210220336914,1039.442539215088,15.397142857142857,9.999959752835178,0.0,310,430,500,540,640,720,780,870,1000,1000,1000
client-middleware,/CommunicationService/setMultiple,2107,0,440.0,464.73442167255854,46.56267166137695,1365.4913902282715,4.0,10.033292952011296,0.0,440,580,650,710,830,930,1000,1100,1300,1400,1400
client-middleware,/CommunicationService/setSingle,2048,0,280.0,320.4422030830756,2.8591156005859375,1092.7090644836426,4.0,9.752341701812593,0.0,280,410,490,540,640,710,780,850,1000,1100,1100
,Aggregated,14721,0,350.0,376.9738116865856,2.718210220336914,1365.4913902282715,3226.446640853203,70.09971786737461,0.0,350,480,560,600,720,810,910,980,1200,1300,1400
