09-April-23 22:32:05 - INFO:  ---------------------------------------------------------------------------------------------------
09-April-23 22:32:57 - INFO:  del_single:0.0027859462425112724
09-April-23 22:32:57 - INFO:  set_multiples:0.025515813380479813
09-April-23 22:32:57 - INFO:  get_range:0.002601965330541134
09-April-23 22:32:57 - INFO:  del_multiple:0.0025039957836270332
09-April-23 22:32:57 - INFO:  get_multiple:0.018275972455739975
09-April-23 22:32:57 - INFO:  del_single:0.0005017267540097237
09-April-23 22:32:57 - INFO:  get_range:0.002803877927362919
09-April-23 22:32:57 - INFO:  get_multiple:0.020479359664022923
09-April-23 22:32:57 - INFO:  del_single:0.000630461610853672
09-April-23 22:32:57 - INFO:  get_multiple:0.021704203449189663
09-April-23 22:32:57 - INFO:  set_to:0.0005457969382405281
09-April-23 22:32:57 - INFO:  set_to:0.0005067670717835426
09-April-23 22:32:57 - INFO:  del_multiple:0.0032730642706155777
09-April-23 22:32:57 - INFO:  set_to:0.0005308138206601143
09-April-23 22:32:57 - INFO:  set_to:0.0005319751799106598
09-April-23 22:32:57 - INFO:  del_multiple:0.0036640195176005363
09-April-23 22:32:57 - INFO:  get_single:0.0005065687000751495
09-April-23 22:32:57 - INFO:  del_single:0.0005136951804161072
09-April-23 22:32:57 - INFO:  get_single:0.0005083559080958366
09-April-23 22:32:57 - INFO:  set_to:0.0005333898589015007
09-April-23 22:32:57 - INFO:  set_multiples:0.03691555745899677
09-April-23 22:32:57 - INFO:  get_single:0.0004709595814347267
09-April-23 22:32:57 - INFO:  set_multiples:0.03587577026337385
09-April-23 22:32:57 - INFO:  set_to:0.0004575485363602638
09-April-23 22:32:57 - INFO:  del_single:0.0005048699676990509
09-April-23 22:32:57 - INFO:  del_multiple:0.003689558245241642
09-April-23 22:32:57 - INFO:  get_range:0.003605129197239876
09-April-23 22:32:57 - INFO:  del_single:0.00051085464656353
09-April-23 22:32:57 - INFO:  set_multiples:0.037577603943645954
09-April-23 22:32:57 - INFO:  del_single:0.0004912428557872772
09-April-23 22:32:57 - INFO:  get_single:0.0006475392729043961
09-April-23 22:32:57 - INFO:  get_single:0.0005405228585004807
09-April-23 22:32:57 - INFO:  get_range:0.003976466134190559
09-April-23 22:32:57 - INFO:  get_single:0.0005418462678790092
09-April-23 22:32:57 - INFO:  del_single:0.0006268937140703201
09-April-23 22:32:57 - INFO:  del_single:0.0006265332922339439
09-April-23 22:32:57 - INFO:  del_single:0.0005327397957444191
09-April-23 22:32:57 - INFO:  set_multiples:0.03935810551047325
09-April-23 22:32:57 - INFO:  del_single:0.0005111563950777054
09-April-23 22:32:57 - INFO:  get_single:0.0005351649597287178
09-April-23 22:32:57 - INFO:  set_multiples:0.034649329259991646
09-April-23 22:32:57 - INFO:  del_single:0.00047236494719982147
09-April-23 22:32:57 - INFO:  get_multiple:0.02185152191668749
09-April-23 22:32:57 - INFO:  set_to:0.000524573028087616
09-April-23 22:32:57 - INFO:  set_multiples:0.031727167777717113
09-April-23 22:32:57 - INFO:  get_single:0.0006046108901500702
09-April-23 22:32:57 - INFO:  set_multiples:0.03050000872462988
09-April-23 22:32:57 - INFO:  get_range:0.0027925828471779823
09-April-23 22:32:57 - INFO:  get_single:0.0006057750433683395
09-April-23 22:32:57 - INFO:  del_multiple:0.0031431028619408607
09-April-23 22:32:57 - INFO:  del_multiple:0.0031964508816599846
09-April-23 22:32:57 - INFO:  del_multiple:0.0030462834984064102
09-April-23 22:32:57 - INFO:  set_multiples:0.03130499366670847
09-April-23 22:32:58 - INFO:  get_single:0.00047569628804922104
09-April-23 22:32:58 - INFO:  del_multiple:0.0030331527814269066
09-April-23 22:32:58 - INFO:  del_multiple:0.002948695793747902
09-April-23 22:32:58 - INFO:  del_single:0.00047054048627614975
09-April-23 22:32:58 - INFO:  del_single:0.0005320459604263306
09-April-23 22:32:58 - INFO:  del_multiple:0.0036959247663617134
09-April-23 22:32:58 - INFO:  del_single:0.0005354862660169601
09-April-23 22:32:58 - INFO:  get_single:0.0005254736170172691
09-April-23 22:32:58 - INFO:  get_range:0.00383154209703207
09-April-23 22:32:58 - INFO:  set_multiples:0.03629111219197512
09-April-23 22:32:58 - INFO:  get_range:0.002926517277956009
09-April-23 22:32:58 - INFO:  del_multiple:0.003560580313205719
09-April-23 22:32:58 - INFO:  get_multiple:0.027240979485213757
09-April-23 22:32:58 - INFO:  get_range:0.00322149321436882
09-April-23 22:32:58 - INFO:  set_to:0.0005096076056361198
09-April-23 22:32:58 - INFO:  get_multiple:0.02720312401652336
09-April-23 22:32:58 - INFO:  get_range:0.00314529612660408
09-April-23 22:32:58 - INFO:  set_multiples:0.03699660673737526
09-April-23 22:32:58 - INFO:  get_multiple:0.024563285522162914
09-April-23 22:32:58 - INFO:  get_range:0.0032321596518158913
09-April-23 22:32:58 - INFO:  get_range:0.0031716693192720413
09-April-23 22:32:58 - INFO:  del_multiple:0.0034265005961060524
09-April-23 22:32:58 - INFO:  del_single:0.0006323354318737984
09-April-23 22:32:58 - INFO:  get_multiple:0.027980048209428787
09-April-23 22:32:58 - INFO:  del_multiple:0.0030502816662192345
09-April-23 22:32:58 - INFO:  get_single:0.00048680324107408524
09-April-23 22:32:58 - INFO:  set_to:0.0005332948639988899
09-April-23 22:32:58 - INFO:  del_single:0.0005068471655249596
09-April-23 22:32:58 - INFO:  del_single:0.0005271267145872116
09-April-23 22:32:58 - INFO:  set_to:0.0005540391430258751
09-April-23 22:32:58 - INFO:  get_single:0.00054165069013834
09-April-23 22:32:58 - INFO:  del_single:0.0005109291523694992
09-April-23 22:32:58 - INFO:  del_single:0.000491289421916008
09-April-23 22:32:58 - INFO:  get_multiple:0.029739695601165295
09-April-23 22:32:58 - INFO:  set_to:0.0006523830816149712
09-April-23 22:32:58 - INFO:  get_single:0.000527343712747097
09-April-23 22:32:58 - INFO:  get_range:0.003912530839443207
09-April-23 22:32:58 - INFO:  del_single:0.0004918193444609642
09-April-23 22:32:58 - INFO:  set_to:0.0005420912057161331
09-April-23 22:32:58 - INFO:  get_multiple:0.029540561139583588
09-April-23 22:32:58 - INFO:  del_multiple:0.0035622594878077507
09-April-23 22:32:58 - INFO:  del_single:0.0005151471123099327
09-April-23 22:32:58 - INFO:  get_single:0.0005161715671420097
09-April-23 22:32:58 - INFO:  set_to:0.0005413312464952469
09-April-23 22:32:58 - INFO:  get_single:0.0005334531888365746
09-April-23 22:32:58 - INFO:  set_to:0.0005489354953169823
09-April-23 22:32:58 - INFO:  get_single:0.0005400106310844421
09-April-23 22:32:58 - INFO:  get_multiple:0.029481842182576656
09-April-23 22:32:58 - INFO:  del_single:0.0004960224032402039
09-April-23 22:32:58 - INFO:  del_multiple:0.003693424165248871
09-April-23 22:32:58 - INFO:  del_single:0.0005240505561232567
09-April-23 22:32:58 - INFO:  set_multiples:0.03702704608440399
09-April-23 22:32:58 - INFO:  del_single:0.0004668803885579109
09-April-23 22:32:58 - INFO:  set_multiples:0.03503935690969229
09-April-23 22:32:58 - INFO:  set_multiples:0.03172335308045149
09-April-23 22:32:58 - INFO:  del_single:0.0005877204239368439
09-April-23 22:32:58 - INFO:  del_multiple:0.0031248386949300766
09-April-23 22:32:58 - INFO:  del_multiple:0.0030704885721206665
09-April-23 22:32:58 - INFO:  del_multiple:0.0033071963116526604
09-April-23 22:32:58 - INFO:  del_single:0.0005073761567473412
09-April-23 22:32:58 - INFO:  del_single:0.0006438940763473511
