09-April-23 21:46:44 - INFO:  ---------------------------------------------------------------------------------------------------
09-April-23 21:47:02 - INFO:  set_to:0.0031019169837236404
09-April-23 21:47:02 - INFO:  set_to:0.0008266260847449303
09-April-23 21:47:02 - INFO:  del_single:0.0008786879479885101
09-April-23 21:47:02 - INFO:  get_single:0.00020859763026237488
09-April-23 21:47:02 - INFO:  get_multiple:0.021323603577911854
09-April-23 21:47:02 - INFO:  get_multiple:0.01851244457066059
09-April-23 21:47:02 - INFO:  get_single:0.0003887275233864784
09-April-23 21:47:02 - INFO:  get_single:0.00050387904047966
09-April-23 21:47:02 - INFO:  get_multiple:0.020917424000799656
09-April-23 21:47:02 - INFO:  get_range:0.003851073794066906
09-April-23 21:47:02 - INFO:  set_multiples:0.03234770800918341
09-April-23 21:47:02 - INFO:  del_single:0.0004744734615087509
09-April-23 21:47:02 - INFO:  set_to:0.0004643993452191353
09-April-23 21:47:02 - INFO:  set_to:0.0005045495927333832
09-April-23 21:47:02 - INFO:  get_single:0.0004154527559876442
09-April-23 21:47:02 - INFO:  set_multiples:0.03996956441551447
09-April-23 21:47:02 - INFO:  del_multiple:0.004925226792693138
09-April-23 21:47:02 - INFO:  set_multiples:0.040037330240011215
09-April-23 21:47:02 - INFO:  del_single:0.00047761760652065277
09-April-23 21:47:02 - INFO:  get_single:0.0004887962713837624
09-April-23 21:47:02 - INFO:  get_multiple:0.0330961337313056
09-April-23 21:47:02 - INFO:  set_multiples:0.0366485882550478
09-April-23 21:47:02 - INFO:  get_range:0.004906162619590759
09-April-23 21:47:02 - INFO:  get_multiple:0.02983611822128296
09-April-23 21:47:02 - INFO:  del_multiple:0.004401342943310738
09-April-23 21:47:02 - INFO:  get_multiple:0.03197077848017216
09-April-23 21:47:02 - INFO:  set_to:0.0005153659731149673
09-April-23 21:47:02 - INFO:  del_single:0.0004272637888789177
09-April-23 21:47:03 - INFO:  get_multiple:0.03378538694232702
09-April-23 21:47:03 - INFO:  get_range:0.0052572935819625854
09-April-23 21:47:03 - INFO:  get_range:0.005365254357457161
09-April-23 21:47:03 - INFO:  del_single:0.0005018441006541252
09-April-23 21:47:03 - INFO:  get_multiple:0.033713556826114655
09-April-23 21:47:03 - INFO:  set_to:0.0005266163498163223
09-April-23 21:47:03 - INFO:  get_range:0.0051712943241000175
09-April-23 21:47:03 - INFO:  del_single:0.000531444326043129
09-April-23 21:47:03 - INFO:  get_single:0.00047605112195014954
09-April-23 21:47:03 - INFO:  set_to:0.000504758208990097
09-April-23 21:47:03 - INFO:  set_to:0.00048383790999650955
09-April-23 21:47:03 - INFO:  del_multiple:0.004887609742581844
09-April-23 21:47:03 - INFO:  get_multiple:0.032800253480672836
09-April-23 21:47:03 - INFO:  set_to:0.0004306267946958542
09-April-23 21:47:03 - INFO:  set_to:0.0005203122273087502
09-April-23 21:47:03 - INFO:  get_range:0.005265073850750923
09-April-23 21:47:03 - INFO:  del_single:0.0004710191860795021
09-April-23 21:47:03 - INFO:  get_range:0.005293390713632107
09-April-23 21:47:03 - INFO:  del_multiple:0.00488376896828413
09-April-23 21:47:03 - INFO:  set_multiples:0.043278724886476994
09-April-23 21:47:03 - INFO:  del_multiple:0.00467913132160902
09-April-23 21:47:03 - INFO:  get_multiple:0.03346511069685221
09-April-23 21:47:03 - INFO:  set_to:0.00037899985909461975
09-April-23 21:47:03 - INFO:  get_range:0.004902715794742107
09-April-23 21:47:03 - INFO:  set_multiples:0.04010605625808239
09-April-23 21:47:03 - INFO:  del_single:0.000440976582467556
09-April-23 21:47:03 - INFO:  del_single:0.00090784952044487
09-April-23 21:47:03 - INFO:  del_multiple:0.003219928592443466
09-April-23 21:47:03 - INFO:  set_to:0.00047288183122873306
09-April-23 21:47:03 - INFO:  get_single:0.0006680665537714958
09-April-23 21:47:03 - INFO:  del_multiple:0.003514477051794529
09-April-23 21:47:03 - INFO:  del_single:0.00046669691801071167
09-April-23 21:47:03 - INFO:  del_single:0.0003926604986190796
09-April-23 21:47:03 - INFO:  del_single:0.0009631607681512833
09-April-23 21:47:03 - INFO:  get_range:0.006019676104187965
09-April-23 21:47:03 - INFO:  set_to:0.004223652184009552
09-April-23 21:47:03 - INFO:  set_to:0.000554284080862999
09-April-23 21:47:03 - INFO:  get_multiple:0.02261225786060095
09-April-23 21:47:03 - INFO:  get_range:0.014275399036705494
09-April-23 21:47:03 - INFO:  get_multiple:0.035428342409431934
09-April-23 21:47:03 - INFO:  del_multiple:0.0034868884831666946
09-April-23 21:47:03 - INFO:  get_single:0.0013633538037538528
09-April-23 21:47:03 - INFO:  del_multiple:0.003972234204411507
09-April-23 21:47:03 - INFO:  get_single:0.0005323775112628937
09-April-23 21:47:03 - INFO:  get_multiple:0.04362241365015507
09-April-23 21:47:03 - INFO:  del_single:0.0004696529358625412
09-April-23 21:47:03 - INFO:  set_multiples:0.07248855847865343
09-April-23 21:47:03 - INFO:  del_single:0.0010390076786279678
09-April-23 21:47:03 - INFO:  get_range:0.005648686550557613
09-April-23 21:47:03 - INFO:  set_to:0.0005820710211992264
09-April-23 21:47:03 - INFO:  set_to:0.0005156630650162697
09-April-23 21:47:03 - INFO:  set_to:0.0005343426018953323
09-April-23 21:47:03 - INFO:  get_single:0.0010831169784069061
09-April-23 21:47:03 - INFO:  get_range:0.005662585608661175
09-April-23 21:47:03 - INFO:  get_single:0.0004734015092253685
