16-April-23 13:04:51 - INFO:  set_to:0.0005130982026457787
16-April-23 13:04:51 - INFO:  set_to:0.0005431277677416801
16-April-23 13:04:51 - INFO:  set_to:0.0005401037633419037
16-April-23 13:04:51 - INFO:  set_to:0.0005362518131732941
16-April-23 13:04:52 - INFO:  set_to:0.0005585234612226486
16-April-23 13:04:52 - INFO:  set_to:0.0005452549085021019
16-April-23 13:04:52 - INFO:  set_to:0.000524996779859066
16-April-23 13:04:52 - INFO:  set_to:0.0005250563845038414
16-April-23 13:04:52 - INFO:  set_to:0.000540493056178093
16-April-23 13:04:52 - INFO:  set_to:0.0005002832040190697
16-April-23 13:04:52 - INFO:  set_to:0.0006315456703305244
16-April-23 13:04:52 - INFO:  set_to:0.0006080912426114082
16-April-23 13:04:52 - INFO:  set_to:0.000597306527197361
16-April-23 13:04:52 - INFO:  set_to:0.0005316417664289474
16-April-23 13:04:53 - INFO:  set_to:0.0005357610061764717
16-April-23 13:04:53 - INFO:  set_to:0.0006188731640577316
16-April-23 13:04:53 - INFO:  set_to:0.0005722651258111
16-April-23 13:04:53 - INFO:  set_to:0.0006131203845143318
16-April-23 13:04:54 - INFO:  set_to:0.000555143691599369
16-April-23 13:04:54 - INFO:  set_to:0.0006065545603632927
16-April-23 13:04:54 - INFO:  set_to:0.0005400814116001129
16-April-23 13:04:55 - INFO:  set_to:0.0005177734419703484
16-April-23 13:04:55 - INFO:  set_to:0.0005435040220618248
16-April-23 13:04:55 - INFO:  set_to:0.0005500447005033493
16-April-23 13:04:55 - INFO:  set_to:0.0005011660978198051
16-April-23 13:04:55 - INFO:  set_to:0.0006821267306804657
16-April-23 13:04:56 - INFO:  set_to:0.0005836943164467812
16-April-23 13:04:56 - INFO:  set_to:0.0005558962002396584
16-April-23 13:04:56 - INFO:  set_to:0.0005776379257440567
16-April-23 13:04:56 - INFO:  set_to:0.0005803778767585754
16-April-23 13:04:56 - INFO:  set_to:0.0005464339628815651
16-April-23 13:04:56 - INFO:  set_to:0.0005297446623444557
16-April-23 13:04:56 - INFO:  set_to:0.0005296813324093819
16-April-23 13:04:56 - INFO:  set_to:0.0005432544276118279
16-April-23 13:04:56 - INFO:  set_to:0.00057996716350317
16-April-23 13:04:56 - INFO:  set_to:0.0005385652184486389
16-April-23 13:04:56 - INFO:  set_to:0.0005289511755108833
