Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,2274,0,290.0,323.01446672270146,4.969358444213867,1055.9844970703125,4.0,10.828842062382833,0.0,290,410,480,520,620,710,820,870,1000,1100,1100
client-middleware,/CommunicationService/delSingle,2259,0,300.0,324.2400080928659,2.713441848754883,1088.679552078247,4.0,10.75741170577081,0.0,300,410,480,530,610,690,780,840,1000,1100,1100
client-middleware,/CommunicationService/getMultiple,2352,0,390.0,407.83497032259595,26.25298500061035,1213.7103080749512,20652.32057823129,11.200279916765359,0.0,390,500,570,620,720,830,960,1100,1200,1200,1200
client-middleware,/CommunicationService/getRange,2218,0,290.0,322.07167342076764,5.072355270385742,1083.897352218628,1976.5870153291253,10.562168731031278,0.0,290,400,470,520,630,720,820,870,1000,1100,1100
client-middleware,/CommunicationService/getSingle,2184,0,320.0,334.592084417413,2.961397171020508,1098.4148979187012,15.24084249084249,10.40025992271069,0.0,320,430,490,530,630,730,820,870,1000,1100,1100
client-middleware,/CommunicationService/setMultiple,2176,0,400.0,432.52487612121246,33.42127799987793,1262.7942562103271,4.0,10.36216373251761,0.0,410,530,600,650,760,870,1000,1100,1200,1300,1300
client-middleware,/CommunicationService/setSingle,2240,0,310.0,327.22912473337993,1.981973648071289,1138.1263732910156,4.0,10.666933254062245,0.0,310,420,480,510,600,680,810,900,1000,1100,1100
,Aggregated,15703,0,330.0,353.1485945147663,1.981973648071289,1262.7942562103271,3376.8967713175825,74.77805932524082,0.0,330,440,510,550,660,750,870,960,1200,1300,1300
