Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/delKeys,3477,0,5,5.018971239778178,3.60180001007393,15.748899953905493,4.0,19.31643591068125,0.0,5,5,5,6,6,6,7,7,13,16,16
grpc,/CommunicationService/getMultiple,3456,0,9,9.493892853040759,6.883800029754639,32.064000028185546,2500.0,19.199770637709058,0.0,9,10,10,10,10,11,11,12,15,32,32
grpc,/CommunicationService/getRange,3600,0,7,14.377214194779905,2.8253000346012414,62.41750001208857,544.335,19.999761080946936,0.0,7,8,10,39,41,42,42,43,53,62,62
grpc,/CommunicationService/getSingle,3507,0,4,4.159895950981576,2.8318000258877873,18.307299993466586,23.0,19.483100586355807,0.0,4,4,5,5,5,5,6,7,14,18,18
grpc,/CommunicationService/setMultiple,3660,0,10,9.981393496727932,7.638400013092905,28.4879999817349,4.0,20.333090432296054,0.0,10,10,10,11,11,11,12,13,20,28,28
grpc,/CommunicationService/setSingle,3553,0,4,4.060366394721331,2.777299960143864,14.847500016912818,4.0,19.738653089056797,0.0,4,4,5,5,5,5,6,6,11,15,15
,Aggregated,21253,0,5,7.88439114010195,2.777299960143864,62.41750001208857,504.5418058627017,118.0708117370459,0.0,5,9,9,10,10,12,41,42,46,53,62
