09-April-23 21:28:53 - INFO:  ---------------------------------------------------------------------------------------------------
09-April-23 21:29:59 - INFO:  get_multiple:0.019033332355320454
09-April-23 21:29:59 - INFO:  del_single:0.013150463812053204
09-April-23 21:29:59 - INFO:  del_single:0.0071953292936086655
09-April-23 21:29:59 - INFO:  get_single:0.0007095634937286377
09-April-23 21:29:59 - INFO:  get_single:0.0007141930982470512
09-April-23 21:29:59 - INFO:  del_single:0.0005013411864638329
09-April-23 21:29:59 - INFO:  set_to:0.0004782024770975113
09-April-23 21:29:59 - INFO:  set_to:0.01060404535382986
09-April-23 21:29:59 - INFO:  get_multiple:0.01575855351984501
09-April-23 21:29:59 - INFO:  get_range:0.00786979217082262
09-April-23 21:29:59 - INFO:  get_multiple:0.01941571570932865
09-April-23 21:29:59 - INFO:  set_to:0.0058812592178583145
09-April-23 21:29:59 - INFO:  set_to:0.013961754739284515
09-April-23 21:29:59 - INFO:  get_multiple:0.04700634442269802
09-April-23 21:29:59 - INFO:  del_multiple:0.01824889425188303
09-April-23 21:29:59 - INFO:  get_single:0.0008305758237838745
09-April-23 21:29:59 - INFO:  del_single:0.005873420275747776
09-April-23 21:29:59 - INFO:  set_multiples:0.08447172213345766
09-April-23 21:29:59 - INFO:  del_single:0.01098831556737423
09-April-23 21:30:00 - INFO:  get_multiple:0.042080193758010864
09-April-23 21:30:00 - INFO:  set_multiples:0.11952659115195274
09-April-23 21:30:00 - INFO:  del_multiple:0.029736071825027466
09-April-23 21:30:00 - INFO:  set_multiples:0.10041987337172031
09-April-23 21:30:00 - INFO:  set_to:0.035342564806342125
09-April-23 21:30:00 - INFO:  set_to:0.0016286754980683327
09-April-23 21:30:00 - INFO:  set_multiples:0.029320260509848595
09-April-23 21:30:00 - INFO:  set_to:0.0064949821680784225
09-April-23 21:30:00 - INFO:  del_multiple:0.006621037609875202
09-April-23 21:30:00 - INFO:  set_to:0.0008177869021892548
09-April-23 21:30:00 - INFO:  set_to:0.0038454337045550346
09-April-23 21:30:00 - INFO:  get_range:0.009357718750834465
09-April-23 21:30:00 - INFO:  del_single:0.008143947459757328
09-April-23 21:30:00 - INFO:  get_single:0.006402996368706226
09-April-23 21:30:00 - INFO:  del_multiple:0.003613957203924656
09-April-23 21:30:00 - INFO:  get_multiple:0.039831784553825855
09-April-23 21:30:00 - INFO:  get_single:0.01743406057357788
09-April-23 21:30:00 - INFO:  get_single:0.0036247605457901955
