Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/delKeys,2574,0,4,4.2504922294806144,2.895199984777719,44.64539996115491,4.0,21.450604586356206,0.0,4,4,5,5,5,5,6,6,8,45,45
grpc,/CommunicationService/getMultiple,2752,0,7,6.963368640902255,5.480799998622388,122.72400001529604,250.0,22.93397972869164,0.0,7,7,7,8,8,8,9,10,15,120,120
grpc,/CommunicationService/getRange,2579,0,8,16.58406409480746,2.960299956612289,142.926600005012,563.412950756107,21.492272427433043,0.0,8,10,41,43,45,45,45,46,130,140,140
grpc,/CommunicationService/getSingle,2672,0,4,4.315872005735765,2.890300005674362,122.54290003329515,22.974176646706585,22.26729427146223,0.0,4,4,5,5,5,5,6,7,12,120,120
grpc,/CommunicationService/setMultiple,2702,0,7,6.980561251354147,5.424599978141487,119.16850000852719,4.0,22.51730131792326,0.0,7,7,7,8,8,8,9,9,12,120,120
grpc,/CommunicationService/setSingle,2610,0,4,4.126599310095319,2.8886000509373844,116.25700001604855,4.0,21.75061304210944,0.0,4,4,5,5,5,5,6,6,12,120,120
,Aggregated,15889,0,5,7.1771772609219076,2.8886000509373844,142.926600005012,140.59871609289445,132.41206537397582,0.0,5,6,7,7,8,11,44,45,51,140,140
