Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1280,0,390.0,395.03180496394634,7.836580276489258,1113.9805316925049,4.0,10.677534483731852,0.0,390,510,580,630,720,780,900,960,1100,1100,1100
client-middleware,/CommunicationService/delSingle,1285,0,320.0,343.51350342717154,2.726316452026367,957.9365253448486,4.0,10.71924360280893,0.0,320,440,520,570,660,730,790,850,910,960,960
client-middleware,/CommunicationService/getMultiple,1278,0,410.0,437.14473579597774,33.158302307128906,1170.175313949585,20841.65179968701,10.660850836101021,0.0,410,550,640,690,780,850,940,990,1100,1200,1200
client-middleware,/CommunicationService/getRange,1216,0,370.0,394.2558875209407,9.093761444091797,1152.918815612793,2020.0970394736842,10.14365775954526,0.0,370,510,590,630,720,800,910,960,1100,1200,1200
client-middleware,/CommunicationService/getSingle,1319,0,320.0,347.96007407985917,2.8231143951416016,902.7636051177979,15.698256254738439,11.002865612533057,0.0,320,450,530,580,670,750,810,850,900,900,900
client-middleware,/CommunicationService/setMultiple,1303,0,450.0,476.2985214122149,33.83684158325195,1181.0996532440186,4.0,10.86939643148641,0.0,450,600,690,730,830,930,1000,1100,1200,1200,1200
client-middleware,/CommunicationService/setSingle,1253,0,320.0,341.7565786448461,2.897977828979492,994.6751594543457,4.0,10.452305240715633,0.0,320,450,530,570,670,730,790,840,920,990,990
,Aggregated,8934,0,370.0,390.9714571282665,2.726316452026367,1181.0996532440186,3260.9423550481306,74.52585396692216,0.0,370,500,580,620,730,800,910,960,1100,1200,1200
