Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
direct_client,del_multiples,26,0,47,47.94319776388315,1.9276142120361328,106.13155364990234,51.0,0.14686269279211525,0.0,49,53,59,62,72,74,110,110,110,110,110
direct_client,del_single,21,0,40,54.36239923749651,1.9962787628173828,215.64984321594238,51.0,0.11861986725517001,0.0,40,52,54,56,120,130,220,220,220,220,220
direct_client,get_multiples,21,0,54000.0,54800.687812623524,36706.868171691895,76808.05325508118,8856.0,0.11861986725517001,0.0,54000,62000,63000,66000,68000,74000,77000,77000,77000,77000,77000
direct_client,get_range,11,0,5800.0,6011.829376220703,917.8719520568848,9466.588735580444,88.0,0.06213421618127953,0.0,5800,7100,7100,7100,8600,9500,9500,9500,9500,9500,9500
direct_client,get_single,27,0,110.0,138.13876222681117,23.28658103942871,310.2865219116211,88.0,0.15251125789950432,0.0,110,140,180,220,290,300,310,310,310,310,310
direct_client,set_multiples,17,0,20000.0,19995.02937933978,7812.625169754028,31224.961757659912,51.0,0.09602560682561383,0.0,20000,26000,26000,29000,31000,31000,31000,31000,31000,31000,31000
direct_client,set_single,23,0,41,95.74904649154,20.514488220214844,1043.8356399536133,51.0,0.12991699746994811,0.0,41,54,64,65,140,160,1000,1000,1000,1000,1000
,Aggregated,146,0,95,10720.412156353259,1.9276142120361328,76808.05325508118,1327.1027397260275,0.8246905056788011,0.0,99,920,8600,20000,49000,62000,68000,74000,77000,77000,77000
