Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/CommunicationService/delKeys,1540,0,38,36.94271012908604,23.858700005803257,97.53930004080757,4.0,12.832901215533811,0.0,38,38,39,39,40,40,41,43,51,98,98
grpc,/CommunicationService/getMultiple,1585,0,5,5.512461008736129,3.647000005003065,17.919700010679662,249.85488958990535,13.207888588714994,0.0,5,6,6,6,7,7,7,8,17,18,18
grpc,/CommunicationService/getRange,1602,0,7,14.447729399610315,3.1426000059582293,53.347499982919544,553.9775280898876,13.349550485250107,0.0,7,9,12,37,41,42,43,43,52,53,53
grpc,/CommunicationService/getSingle,1540,0,4,4.545529025785214,2.9286000062711537,21.821700036525726,23.0,12.832901215533811,0.0,4,5,5,5,6,6,7,8,15,22,22
grpc,/CommunicationService/setMultiple,1502,0,5,5.5824116508869555,3.843399987090379,16.215800016652793,4.0,12.516245211514146,0.0,5,6,6,6,7,7,8,9,13,16,16
grpc,/CommunicationService/setSingle,1518,0,4,4.445054743471783,2.83140002284199,19.51120002195239,4.0,12.6495740553119,0.0,4,5,5,5,5,6,7,7,14,20,20
,Aggregated,9287,0,5,11.942153213712349,2.83140002284199,97.53930004080757,143.98104877786153,77.38906077185877,0.0,5,6,8,31,38,39,41,42,48,98,98
