Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1402,0,340.0,348.9768678553604,5.290508270263672,1145.8163261413574,4.0,11.68322059034823,0.0,340,440,500,550,650,750,820,890,1000,1100,1100
client-middleware,/CommunicationService/delSingle,1388,0,330.0,342.13160747066354,2.824544906616211,1128.556728363037,4.0,11.566555049503098,0.0,330,440,510,540,640,720,810,880,1100,1100,1100
client-middleware,/CommunicationService/getMultiple,1326,0,410.0,432.4463737136818,22.558927536010742,1332.066535949707,20777.618401206637,11.049893368617512,0.0,410,530,610,650,770,870,960,1000,1300,1300,1300
client-middleware,/CommunicationService/getRange,1248,0,330.0,352.3083046460763,6.946802139282227,1036.6220474243164,1997.9671474358975,10.399899641051777,0.0,330,440,530,570,660,760,840,910,1000,1000,1000
client-middleware,/CommunicationService/getSingle,1331,0,340.0,342.17816864432115,2.882242202758789,1116.7125701904297,15.301277235161532,11.091559633205058,0.0,340,450,510,550,630,720,830,910,1100,1100,1100
client-middleware,/CommunicationService/setMultiple,1401,0,420.0,447.3113887740577,34.848690032958984,1502.6252269744873,4.0,11.67488733743072,0.0,420,540,620,670,790,920,1100,1100,1400,1500,1500
client-middleware,/CommunicationService/setSingle,1324,0,320.0,336.1106916496761,2.0360946655273438,1047.4786758422852,4.0,11.033226862782493,0.0,320,430,500,540,640,750,860,900,990,1000,1000
,Aggregated,9420,0,350.0,372.0150583362377,2.0360946655273438,1502.6252269744873,3193.950212314225,78.49924248293888,0.0,350,470,540,580,690,790,900,970,1200,1500,1500
