Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1857,0,1400.0,1372.6979691172135,52.9932975769043,2077.9905319213867,4.0,10.318134897592397,0.0,1400,1500,1500,1600,1700,1700,1800,1900,2000,2100,2100
client-middleware,/CommunicationService/delSingle,1840,0,1300.0,1309.1065601162288,36.638736724853516,1910.1049900054932,4.0,10.223677012154017,0.0,1300,1400,1500,1500,1600,1700,1700,1800,1900,1900,1900
client-middleware,/CommunicationService/getMultiple,1740,0,1500.0,1428.9955440608935,93.8577651977539,2167.734384536743,20915.659770114944,9.668042391928255,0.0,1500,1500,1600,1600,1700,1800,1900,1900,2100,2200,2200
client-middleware,/CommunicationService/getRange,1872,0,1400.0,1377.288911714513,63.63201141357422,2070.9664821624756,2028.963141025641,10.401480090626261,0.0,1400,1500,1500,1600,1700,1700,1800,1900,2100,2100,2100
client-middleware,/CommunicationService/getSingle,1835,0,1300.0,1312.7505429759012,17.867326736450195,1929.7442436218262,15.499182561307903,10.195895281142729,0.0,1300,1400,1500,1500,1600,1600,1700,1800,1900,1900,1900
client-middleware,/CommunicationService/setMultiple,1814,0,1500.0,1479.359645564869,55.405616760253906,2284.6994400024414,4.0,10.079212010895318,0.0,1500,1600,1600,1700,1800,1900,1900,2000,2200,2300,2300
client-middleware,/CommunicationService/setSingle,1766,0,1400.0,1330.2754645709408,15.85841178894043,1926.3508319854736,4.0,9.812507393186953,0.0,1400,1400,1500,1500,1600,1700,1800,1800,1900,1900,1900
,Aggregated,12724,0,1400.0,1372.549151407402,15.85841178894043,2284.6994400024414,3163.2360892801007,70.69894907752594,0.0,1400,1500,1500,1600,1700,1700,1800,1900,2100,2200,2300
