Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
client-middleware,/CommunicationService/delMultiple,1219,0,9,9.839083544048156,7.608890533447266,126.94978713989258,4.0,6.7730340894937475,0.0,9,10,10,10,11,11,12,13,130,130,130
client-middleware,/CommunicationService/delSingle,1265,0,4,4.107435701392856,1.9989013671875,24.457931518554688,4.0,7.028620281550115,0.0,4,4,5,5,5,6,6,6,10,24,24
client-middleware,/CommunicationService/getMultiple,1195,0,47,47.18928436853896,33.262014389038086,157.59706497192383,20834.918828451882,6.6396847718991205,0.0,47,48,48,48,49,50,53,58,140,160,160
client-middleware,/CommunicationService/getRange,1324,0,10,11.208388920637056,7.245540618896484,128.23200225830078,2013.47583081571,7.3564373539702395,0.0,10,11,11,12,12,12,14,19,130,130,130
client-middleware,/CommunicationService/getSingle,1278,0,4,4.077539757383821,2.000570297241211,10.999441146850586,15.4037558685446,7.100851161913871,0.0,4,4,5,5,5,6,6,7,10,11,11
client-middleware,/CommunicationService/setMultiple,1155,0,53,54.51152438209171,40.29560089111328,279.033899307251,4.0,6.4174359092414095,0.0,53,54,55,56,57,58,61,130,270,280,280
client-middleware,/CommunicationService/setSingle,1237,0,4,4.0050931003851185,1.9924640655517578,13.998746871948242,4.0,6.873046077689717,0.0,4,4,5,5,5,5,6,7,11,14,14
,Aggregated,8673,0,9,18.626433459035283,1.9924640655517578,279.033899307251,3182.6080940850916,48.18910964575822,0.0,9,11,45,47,52,54,56,58,160,280,280
